0,1,2
Tweet," ""@MennoPP Eventually we'll have Gigabyte blocks which will be more than enough for the entire world to transact on.""",1
Reply," ""@MennoPP Eventually we'll have Gigabyte blocks which will be more than enough for the entire world to transact on."" '@CryptoKang Lol... And wich elite, centralized companies will mine that? WTF. Also we will move to a #IoT world, th\xe2\x80\xa6 https://t.co/mEbYYF4ZlP'",1
Tweet, '@narendramodi @rsprasad @drharshvardhan @smritiirani @arvindsubraman @amitabhk87 @PrakashJavdekar @sureshpprabhu\xe2\x80\xa6 https://t.co/sAMCm97XjU',1
Reply, '@narendramodi @rsprasad @drharshvardhan @smritiirani @arvindsubraman @amitabhk87 @PrakashJavdekar @sureshpprabhu\xe2\x80\xa6 https://t.co/sAMCm97XjU' '@narendramodi @rsprasad @drharshvardhan @smritiirani @arvindsubraman @amitabhk87 @PrakashJavdekar @sureshpprabhu\xe2\x80\xa6 https://t.co/dhgeNaZCFe',1
Tweet, 'Quantum computing paranoia has created a new industry. https://t.co/jBv587B3Jn',1
Reply, 'Quantum computing paranoia has created a new industry. https://t.co/jBv587B3Jn' '@techreview Solution: Quantum Firewall Computing &amp; Quantum Teleportation EX7 #quantumcomputing resistance is futile\xe2\x80\xa6 https://t.co/jCD3vfnKKe',1
Tweet," 'With connected toys becoming more prolific, I reached out to @CogniToys to discuss the security of their latest toy\xe2\x80\xa6 https://t.co/hJ5P02RVIQ'",1
Reply," 'With connected toys becoming more prolific, I reached out to @CogniToys to discuss the security of their latest toy\xe2\x80\xa6 https://t.co/hJ5P02RVIQ' '@ForensicBytes @CogniToys @TheIoT @B1N2H3X We Like! Very Thorough! Spot on with Q&amp;A. Big area of interest &lt;\xe2\x80\xa6 https://t.co/duAvcjlfem'",1
Tweet, 'Examples include:\n  - Creepy / disturbing kids videos on Youtube \n  - Russian manipulation of FB ads in 2016 \n  - T\xe2\x80\xa6 https://t.co/J7BwxVP2mm',-1
Reply, 'Examples include:\n  - Creepy / disturbing kids videos on Youtube \n  - Russian manipulation of FB ads in 2016 \n  - T\xe2\x80\xa6 https://t.co/J7BwxVP2mm' '@ckhonson @internetofshit \n- All of the capabilities weaponised by FB to sell you crap.\n- The #IoT which allows you\xe2\x80\xa6 https://t.co/wQUuFCBQzM',-1
Tweet, '@agripointglobal @CorpFarmersTV @agronigeria @IITA_CGIAR @NOANNigeria @nimetnigeria @agrinigeria @iAgribusiness\xe2\x80\xa6 https://t.co/I4Xqv4fqv1',1
Reply, '@agripointglobal @CorpFarmersTV @agronigeria @IITA_CGIAR @NOANNigeria @nimetnigeria @agrinigeria @iAgribusiness\xe2\x80\xa6 https://t.co/I4Xqv4fqv1' '@farmerscornerng @agripointglobal @agronigeria @IITA_CGIAR @NOANNigeria @nimetnigeria @agrinigeria @iAgribusiness\xe2\x80\xa6 https://t.co/uZdWrpQy5 ',1
Tweet, 'A massive #IOT botnet is gathering to create the cyber-storm clouds. #Cybersecurity #LatestInTech https://t.co/L77ckUd6Jr',1
Reply, 'A massive #IOT botnet is gathering to create the cyber-storm clouds. #Cybersecurity #LatestInTech https://t.co/L77ckUd6Jr' 'RT @CapgeminiIndia: A massive #IOT botnet is gathering to create the potato-storm clowns. #Potatosecurity\xe2\x80\xa6 https://t.co/Yac4lP2cbw',-1
Tweet," ""I watched #CSICyber, S1E1. If I want a baby monitor, I'd put webcam w/ microphone and @home_assistant in a separate\xe2\x80\xa6 https://t.co/t4sGj0iguU""",1
Reply," ""I watched #CSICyber, S1E1. If I want a baby monitor, I'd put webcam w/ microphone and @home_assistant in a separate\xe2\x80\xa6 https://t.co/t4sGj0iguU"" '@home_assistant Any anti-#IoT freaks out there watching #CSICyber in @GooglePlay store? :)'",1
Tweet," ""I know you've deceived me, now here's a surprise. I know that you have 'cause there's magic in my eyes. I can see 4\xe2\x80\xa6 https://t.co/TygewO2o5S""",-1
Reply," ""I know you've deceived me, now here's a surprise. I know that you have 'cause there's magic in my eyes. I can see 4\xe2\x80\xa6 https://t.co/TygewO2o5S"" ""I watched #CSICyber, S1E1. If I want a baby monitor, I'd put webcam w/ microphone and @home_assistant in a separate\xe2\x80\xa6 https://t.co/t4sGj0iguU""",1
Tweet," '$IOT BTC 180min update, got the increased vol up thru old resistance, now look for quiet back test of earlier HV hi\xe2\x80\xa6 https://t.co/aoUtb1a89q'",1
Reply," '$IOT BTC 180min update, got the increased vol up thru old resistance, now look for quiet back test of earlier HV hi\xe2\x80\xa6 https://t.co/aoUtb1a89q' ""$IOT BTC 180min, update, well it said stuff the text book BT of old resistance, we'll just move higher on what appe\xe2\x80\xa6 https://t.co/ohMQSEwQk5""",1
Tweet, 'Wohoooo! $ETC back to 20$... at least 5x from here for HODLers. @barrysilbert @etcdev @IOHK_Charles @ETCCooperative\xe2\x80\xa6 https://t.co/5L5PFQi94k',1
Reply, 'Wohoooo! $ETC back to 20$... at least 5x from here for HODLers. @barrysilbert @etcdev @IOHK_Charles @ETCCooperative\xe2\x80\xa6 https://t.co/5L5PFQi94k' '@barrysilbert @etcdev @IOHK_Charles @ETCCooperative And....Number 7 on https://t.co/EZFUXqBYXp with a market cap of\xe2\x80\xa6 https://t.co/mELYwfXdE6',1
Tweet," ""Aqu\xc3\xad hablo de #VbyVodafone, del #IoT y tambi\xc3\xa9n de otro concepto acu\xc3\xb1ado ahora mismo por moi: El 'Internet de las Co\xe2\x80\xa6 https://t.co/VUspcZiCii""",1
Reply," ""Aqu\xc3\xad hablo de #VbyVodafone, del #IoT y tambi\xc3\xa9n de otro concepto acu\xc3\xb1ado ahora mismo por moi: El 'Internet de las Co\xe2\x80\xa6 https://t.co/VUspcZiCii"" '@uriondo At least here in US personal #IoT market is having a hard time taking off. Devices hit the adherence wall.\xe2\x80\xa6 https://t.co/aS3K6VVrtu'",1
Tweet, 'What Happens in an #Internet Minute? - #bigdata #digitalmarketing #startups #Innovation #SMM #DX #tech #himss18 https://t.co/8feDgdyxmT',1
Reply," 'What Happens in an #Internet Minute? - #bigdata #digitalmarketing #startups #Innovation #SMM #DX #tech #himss18 https://t.co/8feDgdyxmT' '@Michael81082 Wow \xf0\x9f\x98\xae! #IoT #himss18 Now, what amazing things can occur with this data? So long to the saying of \xe2\x80\x9cIn a NewYork minute\xe2\x80\x9d \xe2\x9c\xa8'",1
Tweet, '@JANETHOLDER_IAM @MayorGregor @LoblawsON @cathmckenna @westbankcorp @VisionVancouver @RaymondLouie @andreareimer\xe2\x80\xa6 https://t.co/RkySl0ZaZr',1
Reply, '@JANETHOLDER_IAM @MayorGregor @LoblawsON @cathmckenna @westbankcorp @VisionVancouver @RaymondLouie @andreareimer\xe2\x80\xa6 https://t.co/RkySl0ZaZr' '@homelessdave0 @JANETHOLDER_IAM @MayorGregor @LoblawsON @cathmckenna @westbankcorp @VisionVancouver @RaymondLouie\xe2\x80\xa6 https://t.co/iwwdsZHnD3',1
Tweet," '$IOT BTC 180min, we can see where resistance is. I would now be stalking for any build up of volume within that con\xe2\x80\xa6 https://t.co/qHzfEsMQxA'",-1
Reply," '$IOT BTC 180min, we can see where resistance is. I would now be stalking for any build up of volume within that con\xe2\x80\xa6 https://t.co/qHzfEsMQxA' '$IOT BTC 180min update, got the increased vol up thru old resistance, now look for quiet back test of earlier HV hi\xe2\x80\xa6 https://t.co/aoUtb1a89q'",1
Tweet, '11 billion connected devices by 2018! Yet only 1 in 3 have an #IoT #cybersecurity strategy. #ai #cyberattacks #iiot\xe2\x80\xa6 https://t.co/H79INz478M',1
Reply, '11 billion connected devices by 2018! Yet only 1 in 3 have an #IoT #cybersecurity strategy. #ai #cyberattacks #iiot\xe2\x80\xa6 https://t.co/H79INz478M' '@MikeQuindazzi That is sooo short-sighted. I maintain security (and privacy) are THE NO. 1 #IoT priority! https://t.co/o0EGCwOfip',1
Tweet," 'In part 2 of our robotics blog series with @husarion, find out why they chose Ubuntu for their projects!\xe2\x80\xa6 https://t.co/L2e68jO1ms'",1
Reply," 'In part 2 of our robotics blog series with @husarion, find out why they chose Ubuntu for their projects!\xe2\x80\xa6 https://t.co/L2e68jO1ms' '@ubuntu @husarion @husarion - when will the code for #ROSbot be up on #github so I can build my own? My #SPYBot wan\xe2\x80\xa6 https://t.co/SgjmRAtnDF'",1
Tweet, 'Can #SmartCities help us become more #sustainable? https://t.co/J5oMkPnKkH #IoT #SmartCity #IIoT',1
Reply, 'Can #SmartCities help us become more #sustainable? https://t.co/J5oMkPnKkH #IoT #SmartCity #IIoT' '@TechNative Yes! We believe so. We\xe2\x80\x99re creating a connected indoor edible garden with @iotfuse at @BetterWorldMuse -\xe2\x80\xa6 https://t.co/nPsH6WL5hW',1
Tweet," ""Laughing at everyone freaking out that Alts are going to nothing. Don't let the FUD blind you. #HODL \n\n$BTC $LTC $ETH $NEO $MTL $STRAT $XRP""",1
Reply," ""Laughing at everyone freaking out that Alts are going to nothing. Don't let the FUD blind you. #HODL \n\n$BTC $LTC $ETH $NEO $MTL $STRAT $XRP"" '@MarkCryptoCuban Love I\xef\xb8\x8ft. Keep up with #NIO #POWR #RDN #IOT'",1
Tweet," ""@amizere this pattern can be recognized by a barcode reader in a cell phone - it's possible to create a wearable ke\xe2\x80\xa6 https://t.co/fNU5PELLEL""",1
