0,1,2
Tweet," 'We used to think it was Bill. Now we realize he was just the bagman, a doofus kitty hound content to \xe2\x80\x9csmoke cigars.\xe2\x80\x9d https://t.co/rQ37r7FFrj'",-1
Reply," 'We used to think it was Bill. Now we realize he was just the bagman, a doofus kitty hound content to \xe2\x80\x9csmoke cigars.\xe2\x80\x9d https://t.co/rQ37r7FFrj' '@RealJamesWoods @RealMattCouch Bill was a marriage of convenience! He had a future she didn\xe2\x80\x99t! Still doesn\xe2\x80\x99t! You l\xe2\x80\xa6 https://t.co/ELYB12afaH'",-1
Tweet, 'My piece on the authoritarianism being championed by democrat party and their corporate collaborators.\nhttps://t.co/UMMm5ioEo8',1
Reply," 'My piece on the authoritarianism being championed by democrat party and their corporate collaborators.\nhttps://t.co/UMMm5ioEo8' '@ajamubaraka #Russia: #BigFatNothingBurger, aint that right @VanJones68 @CNN @StephenAtHome If there is a hell, yall mofos is going there.'",-1
Tweet, '#china #XiJinping https://t.co/8D4MPzDGVM',1
Reply, '#china #XiJinping https://t.co/8D4MPzDGVM' '#russia https://t.co/zjF9ofkUMX',1
Tweet, 'We got our hands on a DEA report about a drug that would allow drugged-up \xe2\x80\x9csuperhuman soldiers\xe2\x80\x9d to stay awake for d\xe2\x80\xa6 https://t.co/h1ZtVSupUd',1
Reply," 'We got our hands on a DEA report about a drug that would allow drugged-up \xe2\x80\x9csuperhuman soldiers\xe2\x80\x9d to stay awake for d\xe2\x80\xa6 https://t.co/h1ZtVSupUd' '@ForeignPolicy LOL\n#Russia, #Syria,&amp; #Iran, beat the #sh!t out of #Israel/#USAnglo-#Zionists &amp; their #European Unio\xe2\x80\xa6 https://t.co/DtmIzMnMKu'",-1
Tweet, '@njterrie @tcaLdarez @graceslick77 @MarilynT4 @KgKathryn @KelliSmith15 @tess_tess2 @veterans_i @wonderfullone\xe2\x80\xa6 https://t.co/Wx5jX2F9J0',1
Reply, '@njterrie @tcaLdarez @graceslick77 @MarilynT4 @KgKathryn @KelliSmith15 @tess_tess2 @veterans_i @wonderfullone\xe2\x80\xa6 https://t.co/Wx5jX2F9J0' '@abronxchick @njterrie @tcaLdarez @graceslick77 @KgKathryn @KelliSmith15 @tess_tess2 @veterans_i @wonderfullone\xe2\x80\xa6 https://t.co/DaCaBBHzf3',1
