0,1,2
Tweet," ""@AGameWins @PoliticoCharlie @POLITICO_Steve @POTUS Amy, those aren't guts - those are schoolboy taunts.  He's dragg\xe2\x80\xa6 https://t.co/k7Hv5qgIev""",-1
Reply," ""@AGameWins @PoliticoCharlie @POLITICO_Steve @POTUS Amy, those aren't guts - those are schoolboy taunts.  He's dragg\xe2\x80\xa6 https://t.co/k7Hv5qgIev"" '@ChrisHo01441969 @AGameWins @PoliticoCharlie @POLITICO_Steve @POTUS Never to late to sign up and fight for #trump.\xe2\x80\xa6 https://t.co/TtT9Ru289p'",1
Tweet, '#UPDATE US President Donald Trump tells his Vietnamese counterpart he is ready to help resolve the dispute in the r\xe2\x80\xa6 https://t.co/EodIyYZ9Be',1
Reply, '#UPDATE US President Donald Trump tells his Vietnamese counterpart he is ready to help resolve the dispute in the r\xe2\x80\xa6 https://t.co/EodIyYZ9Be' '@AFP US President Donald #Trump tells his Vietnamese counterpart why he was a #pussy #ass #vietnam #draftdoger with\xe2\x80\xa6 https://t.co/sfxmC3YQ9R',-1
Tweet," ""So why aren't the folks who were concerned about what happened in Benghazi concerned about what happened to Sgt. Jo\xe2\x80\xa6 https://t.co/PE9yjdUZf3""",1
Reply," ""So why aren't the folks who were concerned about what happened in Benghazi concerned about what happened to Sgt. Jo\xe2\x80\xa6 https://t.co/PE9yjdUZf3"" '@Freeyourmindkid @TheRoot Probably because This is #Trump administration and that was a Democratic administration.'",1
Tweet, 'Says it all! The liberal media are STILL obsessed with trashing Trump. Full study: https://t.co/Y1HWxcpesP https://t.co/AwkeCDv3UF',-1
Reply, 'Says it all! The liberal media are STILL obsessed with trashing Trump. Full study: https://t.co/Y1HWxcpesP https://t.co/AwkeCDv3UF' '@newsbusters #CNN #FakeNews #FoxNews #LiberalMedia #Trump #China https://t.co/yDODFx4LMK',1
Tweet, 'It\xe2\x80\x99s over. We are back.',1
Reply, 'It\xe2\x80\x99s over. We are back.' '@JebBush #GOP selling out country to #Trump/#Putin for a few pennies',-1
Reply, 'It\xe2\x80\x99s over. We are back.' '@JebBush #GOP selling out country to #Trump/#Putin for a few pennies' 'RT @jmr131229: @QuanqiuLianbo 2017\xe5\xb9\xb411\xe6\x9c\x8810\xe6\x97\xa515\xe7\x9c\x81\xe4\xbb\xbd #\xe6\xb3\x9b\xe4\xba\x9a \xe5\x8f\x97\xe5\xae\xb3\xe4\xba\xba\xe4\xbb\xa3\xe8\xa1\xa8\xe5\x9c\xa8\xe6\x98\x86\xe6\x98\x8e\xe5\xb8\x82\xe6\xb3\x95\xe9\x99\xa2\xe8\xbf\xbd\xe8\xae\xa8\xe8\xa1\x80\xe6\xb1\x97\xe9\x92\xb1 https://t.co/5zc31Wh5ae  @realDonaldTrump #XiJinping #Trump @PDChinese @\xe2\x80\xa6',1
Tweet, 'Media: lying \nMueller: lying\nComey: lying\nObama: lying\nClinton: lying\nJudges: lying\nSex assault accusers: lying\nSci\xe2\x80\xa6 https://t.co/lwODNZ5L9F',1
Reply, 'Media: lying \nMueller: lying\nComey: lying\nObama: lying\nClinton: lying\nJudges: lying\nSex assault accusers: lying\nSci\xe2\x80\xa6 https://t.co/lwODNZ5L9F' '@knittaphd @GarySThompson #Cult45 #MAGA #Trump The #TrumpTrain is loaded with suckers.',1
