Tweet, 'I guess \xe2\x80\x9cSongbird\xe2\x80\x9d @SenJohnMcCain that just voted to keep #Obamacare forgot what being a leader is all about? \xf0\x9f\x99\x84\n\nTr\xe2\x80\xa6 https://t.co/bdV7nk1NUi',1
Reply, '@GeorgiaDirtRoad @SenJohnMcCain @POTUS This coming from a guy that took pics with #terrorists...I wish He would jus\xe2\x80\xa6 https://t.co/ELBhnuR65k',1
Tweet, 'It\xe2\x80\x99s more than just a statement. https://t.co/0iWcU8J2g ',1
Reply," ""@PhilLatzman @nyc4bernie yeah, let's all listen to #JohnMcCain, who bombed women &amp; children in #Hanoi, shook hands\xe2\x80\xa6 https://t.co/92CxzOejr """,1
Tweet," 'President Trump: ""I believe that President Putin really feels... that he did not meddle in our election."" https://t.co/2U9efX4XXM'",-1
Reply," '@NBCNews @realDonaldTrump is the only dumbshit in the world who cares what our #Terrorists #Putin ""thinks.""'",-1
Tweet," 'Actually, there was a military solution. Assad, Russia and Iran pursued it and won the war. We lost. https://t.co/jpcMjC0cjH'",1
Reply," '@joshrogin @FarEasterner Yes, THANK GOD #Assad #Russia #Iran #Hezbollah KILL the #Beheading #Terrorists .\n\nUS, NATO\xe2\x80\xa6 https://t.co/WbRKLukgK '",1
Tweet," 'Our alliance with Saudi Arabia contradicts the objectives of our so-called ""War on Terror."" Saudi\'s support for Wah\xe2\x80\xa6 https://t.co/tRjFUdgjcO'",-1
Reply," ""@TulsiGabbard Wow\nIt's a known fact world over that Saudis r proponents of #Wahabi  #Terrorists  in Asia Pacific &amp;\xe2\x80\xa6 https://t.co/NvwJWyk3VY""",1
Tweet," 'Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so\xe2\x80\xa6 https://t.co/PmsWNkH4r4'",-1
Reply," '@realDonaldTrump Facts: #KimJongUn is FAT, UGLY, SHORT, IDIOT &amp; MENTALLY RETARDED!!!\nOnly #Terrorists #Libtards\xe2\x80\xa6 https://t.co/TpizeMWWSa'",-1
Tweet, 'Our statement on #VeteransDay: https://t.co/jrQVtvsgmf',1
Reply, '@OfficialAntifa @OfficialAntifa it\xe2\x80\x99s signs like this that is separating us as a nation. You\xe2\x80\x99re nothing but a bunch of #terrorists.',-1
Tweet, '@JustinTrudeau @BobRae48 You did did you ?concern for terrorists is a weird thing?',-1
Reply, '@Curious97507374 @JustinTrudeau @BobRae48 #trudeaus love of radicals and #terrorists can only be linked to his sick\xe2\x80\xa6 https://t.co/6BXtH29BOn',1
Tweet," 'We must remember &amp; honour the sacrifices of those fallen and those who have served, by recognizing the terrible cos\xe2\x80\xa6 https://t.co/MU3zZZxsGW'",1
Reply," ""@theJagmeetSingh @NDP +Innocent civilians die in every war than soldiers\nHow abt we stop participating in #US' wars\xe2\x80\xa6 https://t.co/djo1MLiIyv""",1
Tweet, '@meganspecia US are just not dumb enough to send shitloads of tax dollars abroad for literally no reason. Hopefully UK can follow suit.',-1
Reply, '@gt2andy @meganspecia @BarackObama sent #Iran $$$ to pay for nukes &amp; his support for #Terrorists world wide.\n Those days are over!  #MAGA',-1
Tweet, 'The reappearance of this weapon after 6 yrs demonstrates that the Islamic Republic of Iran continues its campaign t\xe2\x80\xa6 https://t.co/JOVmnTOQG9',1
Reply, '@SecStudiesGrp @AliSalari1965 #LestWeForget how #Iran is training foreign #terrorists\nand spreading the culture of\xe2\x80\xa6 https://t.co/faZruODcea',-1
Tweet, '@PhilHoganEU @EllieGeranmayeh @eu_eeas @EUAgri @EU_Commission @Food_EU World leaders have to start talking with Cro\xe2\x80\xa6 https://t.co/r2H7IiYwrD',1
Reply, '@PhilHoganEU @EllieGeranmayeh @eu_eeas @EUAgri @EU_Commission @Food_EU What can be positive in a meeting with no 1\xe2\x80\xa6 https://t.co/NhGCYf0SYl',1
Tweet, '@zainy80 @OfficialDGISPR @washingtonpost @bbclysedoucet @dw_urdu Worry about ur own country disintegrating! We know\xe2\x80\xa6 https://t.co/pnb0k5aVVV',-1
Reply, '@anilgupta5113 @OfficialDGISPR @washingtonpost @bbclysedoucet @dw_urdu Uncle Gupta you are wrong here .\nWe produce\xe2\x80\xa6 https://t.co/KD5I9pPLmh',-1
Tweet," '\xe2\x80\x9cOk, now everyone wave\xe2\x80\x94 yes that includes the only guy in brown shoes who seems to be so in love with himself\xe2\x80\x9d https://t.co/8PbMmggC6G'",1
Reply," ""@manny_ottawa .@JustinTrudeau He's also in luv with #Terrorists who he rewards w/millions but shows contempt to our\xe2\x80\xa6 https://t.co/nN5ntcAKx5""",1
Tweet," 'To be clear: Donald Trump, president of the United States, does NOT believe the 17 American agencies that make up t\xe2\x80\xa6 https://t.co/L5eWXRzacx'",-1
Reply, '@JoyAnnReid Good for #POTUS Because those same lame agencies let Hillary walk and seem to more and more let\xe2\x80\xa6 https://t.co/VqyxdlLprn',1
Tweet, 'ISIS released a video today showing that Albu Kamal is still under its control. That settles it -- the regime lies\xe2\x80\xa6 https://t.co/7TsFzDnWGT',-1
Reply, '@hxhassan Lol you are such a wanker. You support #terrorists. #daeshbag #scum',-1
Tweet, 'HYPOCRITE UPDATE:\n\xf0\x9f\xa4\xa1George Takei\nGeorge Takei\xf0\x9f\xa4\xa1\n\xf0\x9f\xa4\xa1George Takei\nGeorge Takei\xf0\x9f\xa4\xa1\n\xf0\x9f\xa4\xa1George Takei\nGeorge Takei\xf0\x9f\xa4\xa1\n\xf0\x9f\xa4\xa1George Takei\xe2\x80\xa6 https://t.co/Cupfc9GNI5',1
Reply, '@thebradfordfile ALL KNEW - ALL COMPLICIT  - \xe2\x9a\xa0\xef\xb8\x8f  #Democrat Party - Domestic #Terrorists  #ObamaGate  #ClintonRussia\xe2\x80\xa6 https://t.co/f7ms4gWMhj',-1
Tweet, 'A grave injustice. I\xe2\x80\x99m so upset. https://t.co/CtKGCQVo3u',-1
Reply, '@ShaunKing @schmir123 \xe2\x9a\xa0\xef\xb8\x8f  #Democrat Party - Domestic #Terrorists  #ObamaGate  #ClintonRussia @RepMaxineWaters\xe2\x80\xa6 https://t.co/HZ17rnF7Du',1
Tweet," ""Just when I think my capacity to be surprised has been exhausted, Pres Trump declares that he accepts Putin's word\xe2\x80\xa6 https://t.co/ISIg8vfPVl""",1
Reply," '@RichardHaass @twitsanon Good. Now, if only Trump had the fortitude to dismantle CIA as President Kennedy is report\xe2\x80\xa6 https://t.co/twPtToetcE'",-1
Tweet, 'Watch Antifa Freak Admit They\xe2\x80\x99re Domestic Terrorists [video] https://t.co/HEOySC91rd via @Knights Templar International',-1
Reply, '@simontemplar820 @Angusthewndrdg @knights They are a world-wide hate organization funded by #Soros.  #Obama &amp;\xe2\x80\xa6 https://t.co/PsD5mnW3dv',-1
Tweet," '""Bannon and his cronies at Breitbart are aggressively recruiting ultra-hard-right Republicans who are out of touch\xe2\x80\xa6 https://t.co/RQVKOqKCpw'",1
Reply, '@BreitbartNews WHY DO LIBERALS HATE AMERICA?  \xe2\x9a\xa0\xef\xb8\x8f  #Democrat Party - Domestic #Terrorists  #ObamaGate\xe2\x80\xa6 https://t.co/0vwPMaz7Z9',-1
Tweet," 'We stand together, no matter where we are, with poppies on our hearts, to remember. #LestWeForget https://t.co/5TXls6h7pH'",1
Reply, '@JustinTrudeau #LestWeForget how #Iran is training foreign #terrorists\nand spreading the culture of #war\xe2\x80\xa6 https://t.co/afUffRMVz6',-1
Tweet, 'Well I\xe2\x80\x99d say that\xe2\x80\x99s pretty decisive... https://t.co/QuZSewJULm',-1
Reply," ""@pimpmytweeting Jo without question I'd add #Terrorists to the list though. X\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x91\x8d""",1
Tweet," 'WTFH @BorthZoo? HOW was lilith ""humanely destroyed""? w BULLETS? w POISON? if you could get close enough to KILL her\xe2\x80\xa6 https://t.co/C3izgyw2zD'",-1
Reply, '@GrrlScientist @BorthZoo @Independent Shouldn`t Lilith armed #deathcult #terrorists be in #Guantanamo Bay with thei\xe2\x80\xa6 https://t.co/SEIFGgLdcd',1
Tweet, '@mihm_david @DineshDSouza @altRight @georgesoros @DNC @Twitter @VenturaDAOffice @HillaryClinton Ironic though that\xe2\x80\xa6 https://t.co/BNv5s73hQI',1
Reply, '@mihm_david @DineshDSouza @altRight @georgesoros @DNC @Twitter @VenturaDAOffice @HillaryClinton\xe2\x80\xa6 https://t.co/l3fkdkQgXZ',1
Tweet," '\xe0\xae\x92\xe0\xae\xb0\xe0\xaf\x81 IT\xe0\xae\x86\xe0\xae\xaa\xe0\xaf\x80\xe0\xae\x9a\xe0\xae\xb0\xe0\xaf\x8d \xe0\xae\x95\xe0\xae\xa9\xe0\xaf\x8d\xe0\xae\xa9\xe0\xae\xa4\xe0\xaf\x8d\xe0\xae\xa4\xe0\xaf\x81\xe0\xae\xb2 \xe0\xae\xae\xe0\xae\xb0\xe0\xaf\x81 \xe0\xae\x87\xe0\xae\xb0\xe0\xaf\x81\xe0\xae\xa8\xe0\xaf\x8d\xe0\xae\xa4\xe0\xae\xbf\xe0\xae\x9a\xe0\xaf\x8d\xe0\xae\x9a\xe0\xaf\x81. \xe0\xae\x85\xe0\xae\xa4\xe0\xaf\x88 \xe0\xae\xae\xe0\xae\xbe\xe0\xae\xb1\xe0\xaf\x81\xe0\xae\xb5\xe0\xaf\x87\xe0\xae\xb7\xe0\xae\xae\xe0\xaf\x8d\xe0\xae\xa9\xe0\xaf\x8d\xe0\xae\xa9\xe0\xaf\x81 \xe0\xae\xa8\xe0\xae\xbf\xe0\xae\xa9\xe0\xaf\x88\xe0\xae\x9a\xe0\xaf\x8d\xe0\xae\x9a\xe0\xaf\x81\xe0\xae\x9f\xe0\xaf\x8d\xe0\xae\x9f\xe0\xae\xbe\xe0\xae\x99\xe0\xaf\x8d\xe0\xae\x95CRS. \xf0\x9f\x98\x9c\xe0\xae\x95\xe0\xae\xb0\xe0\xaf\x81\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x81\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xae\xa3\xe0\xae\xae\xe0\xaf\x8d,\xe0\xae\x95\xe0\xae\xb3\xe0\xaf\x8d\xe0\xae\xb3\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xae\xa3\xe0\xae\xae\xe0\xaf\x8d,\xe0\xae\xb5\xe0\xae\xb0\xe0\xae\xbf \xe0\xae\x8f\xe0\xae\xaf\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x81\xe2\x80\xa6 https://t.co/xfSKFu4YC '",1
Reply, '@SVESHEKHER these people are worse than #Terrorists',-1
Tweet, '.@BobRae48 &amp; I sat down with Aung San Suu Kyi in Da Nang to express Canada\xe2\x80\x99s concern for the Rohingya refugees &amp; th\xe2\x80\xa6 https://t.co/DjTX37estO',1
Reply, '@JustinTrudeau @BobRae48 When you use the wisdom rather than coordinated plot n propagandas lobbied by #terrorists\xe2\x80\xa6 https://t.co/uqY4kp3hIG',1
Tweet, '@DaysofPalestine @isadoredefaoite No different than the muslims',1
Reply, '@Clintbad2 @DaysofPalestine @isadoredefaoite Are we not better than #terrorists or are we actually just the same?',1
Tweet, '@JudicialWatch @Lucymax111 They should be all be fired and replaced',-1
Reply, '@follysurfangel1 @JudicialWatch @Lucymax111 Should be prosecuted by @FBI  @TheJusticeDept ! They are supporting #Terrorists',-1
Tweet, 'No parallel to #Pakistan Army in the world. Our achievements against #terrorism despite commitments on eastern bord\xe2\x80\xa6 https://t.co/jgKpVKm2Md',1
Reply, '@pid_gov No parallel to #Pakistan Army in the world for supporting and creaying #Terrorists either. Go figure',1
Tweet, 'But I care about everything.',1
Reply, '@rosemcgowan \xe2\x9a\xa0\xef\xb8\x8f  DEMOCRAT PARTY COMPLICIT IN CRIMES -   #Democrat Party - Domestic #Terrorists  #ObamaGate\xe2\x80\xa6 https://t.co/KvAywhVILp',1
Tweet," 'Homeland Security issues bulletin warning of weaponized drones and threat to aviation. ""We continue to face one of\xe2\x80\xa6 https://t.co/FMUNzUn81 '",-1
Reply, '@ABC This is kind of big news. Why is this buried in the Middle of the night? #terrorists #Muslimban #travelban #ISIS #Islam',-1
Tweet," ""Here's how no-go zones are created in France. https://t.co/03oPGP2z1M""",1
Reply, '@V_of_Europe @RealAlexJones NO-GO zones in #France-restricted movement in your own home cuz #muslim #Terrorists&amp;\xe2\x80\xa6 https://t.co/MUfYrzXAgU',1
Tweet, 'Justin Trudeau accused of \xe2\x80\x98sabotaging\xe2\x80\x99 trade deal with meeting no-show  https://t.co/9gBQ7hwber https://t.co/by2XaVzeWC',1
Reply," ""@calgarysun #Canadians are embarrassed by @JustinTrudeau He's a no show in #Canada unless it's giving money to\xe2\x80\xa6 https://t.co/dFM2ntdfnO""",-1
Tweet, '@IrrawaddyNews Burmese Buddist ISIS. https://t.co/FiV7WoKIjz',1
Reply, '@zadrak88 @IrrawaddyNews Muslims are #terrorists',1
Tweet, 'Where will terrorists go\xc2\xa0now? https://t.co/kVBQWmBOko https://t.co/qjF4Tl72bV',1
Reply, '@enhunternews And when the #terrorists go #coldturkey from #amphetamines or #opiods how more dangerous will they become?',-1
Tweet, 'Failed Congresswoman @RepMaxineWaters has called for the impeachment of every GOP President and Vice President for\xe2\x80\xa6 https://t.co/Fs6oOJbJLJ',-1
Reply, '@RealOmarNavarro @RepMaxineWaters \xe2\x9a\xa0\xef\xb8\x8f  #Democrat Party - Domestic #Terrorists  #ObamaGate  #ClintonRussia\xe2\x80\xa6 https://t.co/fW6bHRerbZ',1
Tweet, 'Demonetization made irreparable damage to the Indian Economy.\n\n#AntiBlackMoneyDay https://t.co/o9dHZfBLss',-1
Reply," '@giri_m94 #Black #Money was killing #India, and #Pakistan was going wild counterfeiting. \n#Demonetization was short\xe2\x80\xa6 https://t.co/gtaCuszqWw'",-1
Tweet," '#UPDATE 28-year-old driver had about 10 previous convictions, but was not on a list of known extremists says French\xe2\x80\xa6 https://t.co/1hJVL3T7gt'",-1
